,Mon-1,Mawlamyine,မန္တလေး-1,"အောင်မြေသာစံ, ချမ်းအေးသာစံ, ပုသိမ်ကြီး",Chauk,Chauk,ကျောက်ကြီးမဲဆန္ဒနယ်,ကျောက်ကြီးမြို့နယ်
,Mon-10,Paung,မန္တလေး-10,"ဒက္ခိဏသီရိ, ဇဗ္ဗူသီရိ, လယ်ဝေး, ပျဉ်းမနား",Gangaw,Gangaw,ကျောက်တံခါးမဲဆန္ဒနယ်,ကျောက်တံခါးမြို့နယ်
,Mon-11,Kyaikto,မန္တလေး-11,"မိတ္ထီလာ, မလှိုင်",Ngape,Ngape,ကြို့ပင်ကောက်မဲဆန္ဒနယ်,ကြို့ပင်ကောက်မြို့နယ်
,Mon-12,Bilin,မန္တလေး-12,"သာစည်, ဝမ်းတွင်း",Salin,Salin,ကဝမဲဆန္ဒနယ်,ကဝမြို့နယ်
,Mon-2,Mawlamyine,မန္တလေး-2,"ချမ်းမြသာစည်, ပြည်ကြီးတံခွန်, မဟာအောင်မြေ, အမရပူရ",Sidoktaya,Sidoktaya,ဇီးကုန်းမဲဆန္ဒနယ်,ဇီးကုန်းမြို့နယ်
,Mon-3,Kyaikmaraw,မန္တလေး-3,"မတ္တရာ, မိုးကုတ်, ပြင်ဦးလွင်, စဉ့်ကူး, သပိတ်ကျင်း,",Sinbaungwe,Sinbaungwe,ညောင်လေးပင်မဲဆန္ဒနယ်,ညောင်လေးပင်မြို့နယ်
,Mon-4,Chaungzon,မန္တလေး-4,"ကျောက်ဆည်, မြစ်သား, စဉ့်ကိုင်, တံတားဦး",Seikphyu,Seikphyu,တောင်ငူမဲဆန္ဒနယ်,တောင်ငူမြို့နယ်
,Mon-5,Thanbyuzayat,မန္တလေး-5,"မြင်းခြံ, ငါန်းဇွန်",Saw,Saw,ထန်းတပင်မဲဆန္ဒနယ်,ထန်းတပင်မြို့နယ်
,Mon-6,Mudon,မန္တလေး-6,"နွားထိုးကြီး, တောင်သာ",Taungdwingyi,Taungdwingyi,ဒိုက်ဦးမဲဆန္ဒနယ်,ဒိုက်ဦးမြို့နယ်
,Mon-7,Ye,မန္တလေး-7,"ညောင်ဦး, ကျောက်ပန်းတောင်း",Tilin,Tilin,နတ်တလင်းမဲဆန္ဒနယ်,နတ်တလင်းမြို့နယ်
,Mon-8,Ye,မန္တလေး-8,"ပျော်ဘွယ်, ရမည်းသင်း",Natmauk,Natmauk,ပန်းတောင်းမဲဆန္ဒနယ်,ပန်းတောင်းမြို့နယ်
,Mon-9,Thaton,မန္တလေး-9,"ဥတ္တရသီရိ, ပုဗ္ဗသီရိ, ဇေယျာသီရိ, တပ်ကုန်း",Pakokku,Pakokku,ပြည်မဲဆန္ဒနယ်,ပြည်မြို့နယ်
,Rakhine-1,Sittwe,မွန်-1,မော်လမြိုင်,Pwintbyu,Pwintbyu,ပေါက်ခေါင်းမဲဆန္ဒနယ်,ပေါက်ခေါင်းမြို့နယ်
,Rakhine-10,"Kyaukpyu, Manaung",မွန်-10,ပေါင်,Pauk,Pauk,ပေါင်းတည်မဲဆန္ဒနယ်,ပေါင်းတည်မြို့နယ်
,Rakhine-11,"Ramree, Ann",မွန်-11,ကျိုက်ထို,Magway,Magway,ပဲခူးမဲဆန္ဒနယ်,ပဲခူးမြို့နယ်
,Rakhine-12,"Thandwe, Gaw, Toungup",မွန်-12,ဘီးလင်း,Mindon,Mindon,ဖြူးမဲဆန္ဒနယ်,ဖြူးမြို့နယ်
,Rakhine-2,Pauktaw,မွန်-2,မော်လမြိုင်,Minbu,Minbu,မင်းလှမဲဆန္ဒနယ်,မင်းလှမြို့နယ်
,Rakhine-3,"Rathedaung, Ponnagyun",မွန်-3,ကျိုက်မရော,Minhla,Minhla,မိုးညိုမဲဆန္ဒနယ်,မိုးညိုမြို့နယ်
,Rakhine-4,Mrauk-U,မွန်-4,ချောင်းဆုံ,Myothit,Myothit,ရွှေကျင်မဲဆန္ဒနယ်,ရွှေကျင်မြို့နယ်
,Rakhine-5,Kyauktaw,မွန်-5,သံဖြူဇရပ်,Myaing,Myaing,ရွှေတောင်မဲဆန္ဒနယ်,ရွှေတောင်မြို့နယ်
,Rakhine-6,"Minbya, Myebon",မွန်-6,မုဒုံ,Yesagyo,Yesagyo,ရေတာရှည်မဲဆန္ဒနယ်,ရေတာရှည်မြို့နယ်
,Rakhine-7,Maungdaw,မွန်-7,ရေး,Yenangyaung,Yenangyaung,လက်ပံတန်းမဲဆန္ဒနယ်,လက်ပံတန်းမြို့နယ်
,Rakhine-8,Maungdaw,မွန်-8,ရေး,Thayetchaung,Thayetchaung,ဝေါမဲဆန္ဒနယ်,ဝေါမြို့နယ်
,Rakhine-9,Buthidaung,မွန်-9,သထုံ,Aunglan,Aunglan,သနပ်ပင်မဲဆန္ဒနယ်,သနပ်ပင်မြို့နယ်
,Sagaing-1,"Myaung, Myinmu, Sagaing",ရခိုင်-1,စစ်တွေ,Kyaukse,Kyaukse,သာယာဝတီမဲဆန္ဒနယ်,သာယာဝတီမြို့နယ်
