popit_id,township_en,township_mm,state,constituency_pyithu,constituency_amyotha
,Laihka,လဲချားမဲဆန္ဒနယ်,Shan,Laihka,Shan-2
,Langkho,လင်းခေးမဲဆန္ဒနယ်,Shan,Langkho,Shan-2
,Lanmadaw,လမ်းမတော်မဲဆန္ဒနယ်,Yangon,Lanmadaw,Yangon-6
,Lashio,လားရှိုးမဲဆန္ဒနယ်,Shan,Lashio,Shan-3
,Latha,လသာမဲဆန္ဒနယ်,Yangon,Latha,Yangon-6
,Laukkaing,လောက်ကိုင်မဲဆန္ဒနယ်,Shan,Laukkaing,Shan-11
,Launglon,လောင်းလုံးမဲဆန္ဒနယ်,Tanintharyi,Launglon,Taninthayi-2
,Lawksawk,ရပ်စောက်မဲဆန္ဒနယ်,Shan,Lawksawk,Shan-1
,Lay Shi,လေရှီးမဲဆန္ဒနယ်,Sagaing,Lay Shi,Sagaing-12
,Lemyethna,လေးမျက်နှာမဲဆန္ဒနယ်,Ayeyawaddy,Lemyethna,Ayeyawaddy-4
,Letpadan,လက်ပံတန်းမဲဆန္ဒနယ်,Bago,Letpadan,Bago-10
,Lewe,လယ်ဝေးမဲဆန္ဒနယ်,Union Territory,Lewe,Mandalay-10
,Loikaw,လွိုင်ကော်မဲဆန္ဒနယ်,Kayah,Loikaw,"Kayah-1, Kayah-2"
,Loilen,လွိုင်လင်မဲဆန္ဒနယ်,Shan,Loilen,Shan-2
